date,track_name,artist_name,uri,link
"August 28, 2022 at 08:06AM",Under Control,The Strokes,3kKb3U3a8jmUJQB9ypE1Jl,https://open.spotify.com/track/3kKb3U3a8jmUJQB9ypE1Jl
"August 28, 2022 at 08:08AM",The Way It Is,The Strokes,5MZBOcqI3Vpvp2PZy6ddyD,https://open.spotify.com/track/5MZBOcqI3Vpvp2PZy6ddyD
"August 28, 2022 at 08:11AM",The End Has No End,The Strokes,0dy6iXYIF0piirySAzCBwF,https://open.spotify.com/track/0dy6iXYIF0piirySAzCBwF
"August 28, 2022 at 08:14AM",I Can't Win,The Strokes,7eX5SypK35V8Y9d9pS6rWy,https://open.spotify.com/track/7eX5SypK35V8Y9d9pS6rWy
"August 28, 2022 at 08:18AM",You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV
"August 28, 2022 at 10:25PM",Do You Wanna Do Nothing with Me?,Lawrence,2M7UdnD0fEaryh8TnCvqFX,https://open.spotify.com/track/2M7UdnD0fEaryh8TnCvqFX
"August 28, 2022 at 10:29PM",Misty Morning,Lawrence,6LqZFfv4fUP7va14Y6VW9a,https://open.spotify.com/track/6LqZFfv4fUP7va14Y6VW9a
"August 28, 2022 at 10:34PM",Probably Up,Lawrence,13HalBseZHAT19C6jWs1Ma,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma
"August 28, 2022 at 10:38PM",So Damn Fast,Lawrence,04VtzZ6KCEZLoEomgVR4ln,https://open.spotify.com/track/04VtzZ6KCEZLoEomgVR4ln
"August 28, 2022 at 10:41PM",Casualty,Lawrence,6nwxT0W6u4JYDGK5iyBOYt,https://open.spotify.com/track/6nwxT0W6u4JYDGK5iyBOYt
"August 28, 2022 at 10:43PM",Me & You,Lawrence,1v6bHfpBDaWD6tq8EE8AYG,https://open.spotify.com/track/1v6bHfpBDaWD6tq8EE8AYG
"August 28, 2022 at 08:29AM",Never Never,The Libertines,67ro5CI8btmAJsYfYKvM29,https://open.spotify.com/track/67ro5CI8btmAJsYfYKvM29
"August 29, 2022 at 03:37PM",Leaning On You,HAIM,6pp50upMirG815dEShJG7H,https://open.spotify.com/track/6pp50upMirG815dEShJG7H
"August 29, 2022 at 03:47PM",Don't Wanna,HAIM,2GfQSB0wEEWYX4a2Go645R,https://open.spotify.com/track/2GfQSB0wEEWYX4a2Go645R
"August 30, 2022 at 11:39AM",There’d Better Be A Mirrorball,Arctic Monkeys,0yowbJnnbTLpr99f9l1uba,https://open.spotify.com/track/0yowbJnnbTLpr99f9l1uba
"August 30, 2022 at 11:42AM",Snap Out Of It,Arctic Monkeys,0NdTUS4UiNYCNn5FgVqKQY,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
"August 30, 2022 at 11:46AM",Black Summer,Red Hot Chili Peppers,2a5cbTg2UIi784t9E2wT35,https://open.spotify.com/track/2a5cbTg2UIi784t9E2wT35
"August 30, 2022 at 11:50AM",Here Ever After,Red Hot Chili Peppers,0zckHMfaB6vT5o23ZVBLHJ,https://open.spotify.com/track/0zckHMfaB6vT5o23ZVBLHJ
"August 30, 2022 at 11:54AM",Aquatic Mouth Dance,Red Hot Chili Peppers,38Ow67MO6ScViFHK1j2qgN,https://open.spotify.com/track/38Ow67MO6ScViFHK1j2qgN
"August 30, 2022 at 11:59AM",Not the One,Red Hot Chili Peppers,2Uze78n7BgWsV91bUMtflX,https://open.spotify.com/track/2Uze78n7BgWsV91bUMtflX
"August 30, 2022 at 03:44PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"August 30, 2022 at 03:49PM",Poster Child,Red Hot Chili Peppers,6LwwlI0IvFTN6DRUDdkkT8,https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8
"August 30, 2022 at 03:54PM",The Great Apes,Red Hot Chili Peppers,5Ek9NwB6PD3QNCDdSUJK5x,https://open.spotify.com/track/5Ek9NwB6PD3QNCDdSUJK5x
