uri,track_number,track_name,album,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:2gVhfX2Gy1T9kDuS9azrF7,1,willow,evermore (deluxe version),Taylor Swift,False,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,214707
spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,2,champagne problems,evermore (deluxe version),Taylor Swift,True,0.462,0.24,0,-12.077,0.0377,0.92,0.0,0.113,0.32,171.319,244000
spotify:track:3Dby3p1m6IOZn2gIIqECgK,3,gold rush,evermore (deluxe version),Taylor Swift,True,0.512,0.462,9,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,185320
spotify:track:6sQckd3Z8NPxVVKUnavY1F,4,‘tis the damn season,evermore (deluxe version),Taylor Swift,False,0.575,0.434,5,-8.193,0.0312,0.735,6.59e-05,0.105,0.348,145.916,229840
spotify:track:6lCvK2AR2uOKkVFCVlAzzm,5,tolerate it,evermore (deluxe version),Taylor Swift,True,0.316,0.361,9,-10.381,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440
spotify:track:6uwfVkaOM1mcMkFmSn35ix,6,"no body, no crime (feat. HAIM)",evermore (deluxe version),Taylor Swift,False,0.546,0.613,7,-7.589,0.0264,0.418,0.0,0.103,0.535,79.015,215627
spotify:track:55Vf4bimc1Rtfg0PAQRAo2,7,happiness,evermore (deluxe version),Taylor Swift,True,0.559,0.334,11,-10.733,0.0376,0.87,0.0,0.114,0.211,122.079,315147
spotify:track:66tOfHVH3aUrscg8vExRV4,8,dorothea,evermore (deluxe version),Taylor Swift,False,0.605,0.488,4,-8.322,0.0264,0.696,0.0,0.129,0.354,119.966,225880
spotify:track:2awNGIJHodfLZSClB3PYhz,9,coney island (feat. The National),evermore (deluxe version),Taylor Swift,False,0.537,0.537,8,-11.266,0.0617,0.819,0.000904,0.142,0.292,107.895,275320
spotify:track:43Ykum9T72UOPhBN31grpN,10,ivy,evermore (deluxe version),Taylor Swift,True,0.515,0.545,2,-9.277,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440
spotify:track:52OkpDsU6MmPx1AwGOb6Ap,11,cowboy like me,evermore (deluxe version),Taylor Swift,True,0.604,0.517,0,-9.014,0.0347,0.768,0.000155,0.123,0.511,127.967,275040
spotify:track:5VYWxXUpxuxEmCqMLDqICo,12,long story short,evermore (deluxe version),Taylor Swift,False,0.546,0.73,0,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,215920
spotify:track:5uICWmZTLkpEVbK22PBP6e,13,marjorie,evermore (deluxe version),Taylor Swift,False,0.535,0.561,5,-11.609,0.0484,0.876,0.000136,0.115,0.287,96.103,257773
spotify:track:6a8aUhYbaQBUI8PcJ5ZmQ6,14,closure,evermore (deluxe version),Taylor Swift,False,0.689,0.704,9,-10.813,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653
spotify:track:6Wlq9rqkxrqj5Kls4Kw14H,15,evermore (feat. Bon Iver),evermore (deluxe version),Taylor Swift,False,0.39,0.27,1,-10.673,0.0308,0.937,0.00227,0.111,0.32,125.177,304107
spotify:track:3zwMVvkBe2qIKDObWgXw4N,16,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,False,0.581,0.619,10,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,245027
spotify:track:1kdWw77ZpYOkhxeuhzU1j6,17,it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,False,0.592,0.41,0,-12.426,0.0397,0.801,1.39e-05,0.09,0.416,151.923,254640
spotify:track:77sMIMlNaSURUAXq5coCxE,1,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.569,0.741,5,-4.963,0.0282,0.0122,0.0,0.333,0.43,100.118,241592
spotify:track:2nqio0SfWg6gh2eCtfuMa5,2,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.559,0.646,7,-4.61,0.0272,0.116,0.0,0.32,0.289,95.466,294419
spotify:track:6YvqWjhGD8mB5QXcbcUKtx,3,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.627,0.792,2,-4.311,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767
spotify:track:550erGcdD9n6PnwxrvYqZT,4,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.788,0.571,6,-6.135,0.0296,0.106,0.0,0.0934,0.797,115.99,254255
spotify:track:5YL553x8sHderRBDlm3NM3,5,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.423,0.517,0,-7.377,0.0486,0.369,0.0,0.177,0.366,185.262,234516
spotify:track:1qrpoAMXodY6895hGKoUpA,6,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,False,0.632,0.773,6,-4.856,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124
